"","muncode","mun_name","dist_name","distrito"
"1",20011,"Calihualá","Silacayoápam",20001
"2",20034,"Guadalupe de Ramírez","Silacayoápam",20001
"3",20065,"Ixpantepec Nieves","Silacayoápam",20001
"4",20081,"San Agustín Atenango","Silacayoápam",20001
"5",20099,"San Andrés Tepetlapa","Silacayoápam",20001
"6",20152,"San Francisco Tlapancingo","Silacayoápam",20001
"7",20183,"San Juan Bautista Tlachichilco","Silacayoápam",20001
"8",20186,"San Juan Cieneguilla","Silacayoápam",20001
"9",20199,"San Juan Ihualtepec","Silacayoápam",20001
"10",20230,"San Lorenzo Victoria","Silacayoápam",20001
"11",20251,"San Mateo Nejápam","Silacayoápam",20001
"12",20259,"San Miguel Ahuehuetitlán","Silacayoápam",20001
"13",20290,"San Nicolás Hidalgo","Silacayoápam",20001
"14",20376,"Santa Cruz de Bravo","Silacayoápam",20001
"15",20461,"Santiago del Río","Silacayoápam",20001
"16",20484,"Santiago Tamazola","Silacayoápam",20001
"17",20501,"Santiago Yucuyachi","Silacayoápam",20001
"18",20537,"Silacayoápam","Silacayoápam",20001
"19",20567,"Zapotitlán Lagunas","Silacayoápam",20001
"20",20004,"Asunción Cuyotepeji","Huajuapan",20002
"21",20022,"Cosoltepec","Huajuapan",20002
"22",20032,"Fresnillo de Trujano","Huajuapan",20002
"23",20039,"Heroica Ciudad de Huajuapan de León","Huajuapan",20002
"24",20055,"Mariscala de Juárez","Huajuapan",20002
"25",20089,"San Andrés Dinicuiti","Huajuapan",20002
"26",20160,"San Jerónimo Silacayoapilla","Huajuapan",20002
"27",20164,"San Jorge Nuchita","Huajuapan",20002
"28",20165,"San José Ayuquila","Huajuapan",20002
"29",20181,"San Juan Bautista Suchitepec","Huajuapan",20002
"30",20237,"San Marcos Arteaga","Huajuapan",20002
"31",20245,"San Martín Zacatepec","Huajuapan",20002
"32",20261,"San Miguel Amatitlán","Huajuapan",20002
"33",20340,"San Pedro y San Pablo Tequixtepec","Huajuapan",20002
"34",20352,"San Simón Zahuatlán","Huajuapan",20002
"35",20373,"Santa Catarina Zapoquila","Huajuapan",20002
"36",20381,"Santa Cruz Tacache de Mina","Huajuapan",20002
"37",20400,"Santa María Camotlán","Huajuapan",20002
"38",20455,"Santiago Ayuquililla","Huajuapan",20002
"39",20456,"Santiago Cacaloxtepec","Huajuapan",20002
"40",20459,"Santiago Chazumba","Huajuapan",20002
"41",20462,"Santiago Huajolotitlán","Huajuapan",20002
"42",20476,"Santiago Miltepec","Huajuapan",20002
"43",20520,"Santo Domingo Tonalá","Huajuapan",20002
"44",20524,"Santo Domingo Yodohino","Huajuapan",20002
"45",20529,"Santos Reyes Yucuná","Huajuapan",20002
"46",20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la","Huajuapan",20002
"47",20568,"Zapotitlán Palmas","Huajuapan",20002
"48",20018,"Concepción Buenavista","Coixtlahuaca",20003
"49",20129,"San Cristóbal Suchixtlahuaca","Coixtlahuaca",20003
"50",20151,"San Francisco Teopan","Coixtlahuaca",20003
"51",20176,"San Juan Bautista Coixtlahuaca","Coixtlahuaca",20003
"52",20256,"San Mateo Tlapiltepec","Coixtlahuaca",20003
"53",20283,"San Miguel Tequixtepec","Coixtlahuaca",20003
"54",20287,"San Miguel Tulancingo","Coixtlahuaca",20003
"55",20047,"Santa Magdalena Jicotlán","Coixtlahuaca",20003
"56",20422,"Santa María Nativitas","Coixtlahuaca",20003
"57",20464,"Santiago Ihuitlán Plumas","Coixtlahuaca",20003
"58",20488,"Santiago Tepetlapa","Coixtlahuaca",20003
"59",20548,"Tepelmeme Villa de Morelos","Coixtlahuaca",20003
"60",20552,"Tlacotepec Plumas","Coixtlahuaca",20003
"61",20029,"Eloxochitlán de Flores Magón","Teotitlán",20004
"62",20040,"Huautepec","Teotitlán",20004
"63",20041,"Huautla de Jiménez","Teotitlán",20004
"64",20058,"Mazatlán Villa de Flores","Teotitlán",20004
"65",20109,"San Antonio Nanahuatípam","Teotitlán",20004
"66",20116,"San Bartolomé Ayautla","Teotitlán",20004
"67",20142,"San Francisco Huehuetlán","Teotitlán",20004
"68",20163,"San Jerónimo Tecóatl","Teotitlán",20004
"69",20171,"San José Tenango","Teotitlán",20004
"70",20187,"San Juan Coatzóspam","Teotitlán",20004
"71",20206,"San Juan de los Cués","Teotitlán",20004
"72",20228,"San Lorenzo Cuaunecuiltitla","Teotitlán",20004
"73",20234,"San Lucas Zoquiápam","Teotitlán",20004
"74",20244,"San Martín Toxpalán","Teotitlán",20004
"75",20249,"San Mateo Yoloxochitlán","Teotitlán",20004
"76",20322,"San Pedro Ocopetatillo","Teotitlán",20004
"77",20354,"Santa Ana Ateixtlahuaca","Teotitlán",20004
"78",20374,"Santa Cruz Acatepec","Teotitlán",20004
"79",20406,"Santa María Chilchotla","Teotitlán",20004
"80",20416,"Santa María Ixcatlán","Teotitlán",20004
"81",20396,"Santa María la Asunción","Teotitlán",20004
"82",20431,"Santa María Tecomavaca","Teotitlán",20004
"83",20434,"Santa María Teopoxco","Teotitlán",20004
"84",20490,"Santiago Texcalcingo","Teotitlán",20004
"85",20545,"Teotitlán de Flores Magón","Teotitlán",20004
"86",20027,"Chiquihuitlán de Benito Juárez","Cuicatlán",20005
"87",20019,"Concepción Pápalo","Cuicatlán",20005
"88",20024,"Cuyamecalco Villa de Zaragoza","Cuicatlán",20005
"89",20098,"San Andrés Teotilálpam","Cuicatlán",20005
"90",20139,"San Francisco Chapulapa","Cuicatlán",20005
"91",20177,"San Juan Bautista Cuicatlán","Cuicatlán",20005
"92",20182,"San Juan Bautista Tlacoatzintepec","Cuicatlán",20005
"93",20220,"San Juan Tepeuxila","Cuicatlán",20005
"94",20276,"San Miguel Santa Flor","Cuicatlán",20005
"95",20311,"San Pedro Jaltepetongo","Cuicatlán",20005
"96",20313,"San Pedro Jocotipac","Cuicatlán",20005
"97",20326,"San Pedro Sochiápam","Cuicatlán",20005
"98",20330,"San Pedro Teutila","Cuicatlán",20005
"99",20355,"Santa Ana Cuauhtémoc","Cuicatlán",20005
"100",20425,"Santa María Pápalo","Cuicatlán",20005
"101",20436,"Santa María Texcatitlán","Cuicatlán",20005
"102",20438,"Santa María Tlalixtac","Cuicatlán",20005
"103",20478,"Santiago Nacaltepec","Cuicatlán",20005
"104",20527,"Santos Reyes Pápalo","Cuicatlán",20005
"105",20558,"Valerio Trujano","Cuicatlán",20005
"106",20002,"Acatlán de Pérez Figueroa","Tuxtepec",20006
"107",20009,"Ayotzintepec","Tuxtepec",20006
"108",20021,"Cosolapa","Tuxtepec",20006
"109",20044,"Loma Bonita","Tuxtepec",20006
"110",20134,"San Felipe Jalapa de Díaz","Tuxtepec",20006
"111",20136,"San Felipe Usila","Tuxtepec",20006
"112",20166,"San José Chiltepec","Tuxtepec",20006
"113",20169,"San José Independencia","Tuxtepec",20006
"114",20184,"San Juan Bautista Tuxtepec","Tuxtepec",20006
"115",20559,"San Juan Bautista Valle Nacional","Tuxtepec",20006
"116",20232,"San Lucas Ojitlán","Tuxtepec",20006
"117",20278,"San Miguel Soyaltepec","Tuxtepec",20006
"118",20309,"San Pedro Ixcatlán","Tuxtepec",20006
"119",20417,"Santa María Jacatepec","Tuxtepec",20006
"120",20189,"San Juan Comaltepec","Choápam",20007
"121",20205,"San Juan Lalana","Choápam",20007
"122",20212,"San Juan Petlapa","Choápam",20007
"123",20460,"Santiago Choápam","Choápam",20007
"124",20468,"Santiago Jocotepec","Choápam",20007
"125",20498,"Santiago Yaveo","Choápam",20007
"126",20016,"Coicoyán de las Flores","Juxtlahuaca",20008
"127",20208,"San Juan Mixtepec","Juxtlahuaca",20008
"128",20242,"San Martín Peras","Juxtlahuaca",20008
"129",20286,"San Miguel Tlacotepec","Juxtlahuaca",20008
"130",20348,"San Sebastián Tecomaxtlahuaca","Juxtlahuaca",20008
"131",20469,"Santiago Juxtlahuaca","Juxtlahuaca",20008
"132",20528,"Santos Reyes Tepejillo","Juxtlahuaca",20008
"133",20556,"La Trinidad Vista Hermosa","Teposcolula",20009
"134",20093,"San Andrés Lagunas","Teposcolula",20009
"135",20105,"San Antonino Monte Verde","Teposcolula",20009
"136",20106,"San Antonio Acutla","Teposcolula",20009
"137",20121,"San Bartolo Soyaltepec","Teposcolula",20009
"138",20221,"San Juan Teposcolula","Teposcolula",20009
"139",20321,"San Pedro Nopala","Teposcolula",20009
"140",20332,"San Pedro Topiltepec","Teposcolula",20009
"141",20339,"San Pedro y San Pablo Teposcolula","Teposcolula",20009
"142",20341,"San Pedro Yucunama","Teposcolula",20009
"143",20346,"San Sebastián Nicananduta","Teposcolula",20009
"144",20536,"San Vicente Nuñú","Teposcolula",20009
"145",20423,"Santa María Nduayaco","Teposcolula",20009
"146",20479,"Santiago Nejapilla","Teposcolula",20009
"147",20499,"Santiago Yolomécatl","Teposcolula",20009
"148",20518,"Santo Domingo Tlatayápam","Teposcolula",20009
"149",20521,"Santo Domingo Tonaltepec","Teposcolula",20009
"150",20547,"Teotongo","Teposcolula",20009
"151",20405,"Villa de Chilapa de Díaz","Teposcolula",20009
"152",20540,"Villa de Tamazulápam del Progreso","Teposcolula",20009
"153",20486,"Villa Tejúpam de la Unión","Teposcolula",20009
"154",20006,"Asunción Nochixtlán","Nochixtlán",20010
"155",20046,"Magdalena Jaltepec","Nochixtlán",20010
"156",20562,"Magdalena Yodocono de Porfirio Díaz","Nochixtlán",20010
"157",20054,"Magdalena Zahuatlán","Nochixtlán",20010
"158",20094,"San Andrés Nuxiño","Nochixtlán",20010
"159",20096,"San Andrés Sinaxtla","Nochixtlán",20010
"160",20140,"San Francisco Chindúa","Nochixtlán",20010
"161",20144,"San Francisco Jaltepetongo","Nochixtlán",20010
"162",20147,"San Francisco Nuxaño","Nochixtlán",20010
"163",20195,"San Juan Diuxi","Nochixtlán",20010
"164",20215,"San Juan Sayultepec","Nochixtlán",20010
"165",20217,"San Juan Tamazola","Nochixtlán",20010
"166",20224,"San Juan Yucuita","Nochixtlán",20010
"167",20250,"San Mateo Etlatongo","Nochixtlán",20010
"168",20255,"San Mateo Sindihui","Nochixtlán",20010
"169",20264,"San Miguel Chicahua","Nochixtlán",20010
"170",20270,"San Miguel Huautla","Nochixtlán",20010
"171",20274,"San Miguel Piedras","Nochixtlán",20010
"172",20281,"San Miguel Tecomatlán","Nochixtlán",20010
"173",20304,"San Pedro Coxcaltepec Cántaros","Nochixtlán",20010
"174",20329,"San Pedro Teozacoalco","Nochixtlán",20010
"175",20331,"San Pedro Tidaá","Nochixtlán",20010
"176",20569,"Santa Inés de Zaragoza","Nochixtlán",20010
"177",20395,"Santa María Apazco","Nochixtlán",20010
"178",20404,"Santa María Chachoápam","Nochixtlán",20010
"179",20451,"Santiago Apoala","Nochixtlán",20010
"180",20463,"Santiago Huauclilla","Nochixtlán",20010
"181",20492,"Santiago Tilantongo","Nochixtlán",20010
"182",20493,"Santiago Tillo","Nochixtlán",20010
"183",20511,"Santo Domingo Nuxaá","Nochixtlán",20010
"184",20523,"Santo Domingo Yanhuitlán","Nochixtlán",20010
"185",20564,"Yutanduchi de Guerrero","Nochixtlán",20010
"186",20033,"Guadalupe Etla","Etla",20011
"187",20045,"Magdalena Apasco","Etla",20011
"188",20063,"Nazareno Etla","Etla",20011
"189",20077,"Reyes Etla","Etla",20011
"190",20084,"San Agustín Etla","Etla",20011
"191",20102,"San Andrés Zautla","Etla",20011
"192",20135,"San Felipe Tejalápam","Etla",20011
"193",20150,"San Francisco Telixtlahuaca","Etla",20011
"194",20161,"San Jerónimo Sosola","Etla",20011
"195",20175,"San Juan Bautista Atatlahuca","Etla",20011
"196",20178,"San Juan Bautista Guelache","Etla",20011
"197",20179,"San Juan Bautista Jayacatlán","Etla",20011
"198",20193,"San Juan del Estado","Etla",20011
"199",20227,"San Lorenzo Cacaotepec","Etla",20011
"200",20293,"San Pablo Etla","Etla",20011
"201",20294,"San Pablo Huitzo","Etla",20011
"202",20426,"Santa María Peñoles","Etla",20011
"203",20483,"Santiago Suchilquitongo","Etla",20011
"204",20487,"Santiago Tenango","Etla",20011
"205",20494,"Santiago Tlazoyaltepec","Etla",20011
"206",20531,"Santo Tomás Mazaltepec","Etla",20011
"207",20539,"Soledad Etla","Etla",20011
"208",20338,"Villa de Etla","Etla",20011
"209",20001,"Abejones","Benemérito Distrito de Ixtlán de Juárez",20012
"210",20247,"Capulálpam de Méndez","Benemérito Distrito de Ixtlán de Juárez",20012
"211",20035,"Guelatao de Juárez","Benemérito Distrito de Ixtlán de Juárez",20012
"212",20042,"Ixtlán de Juárez","Benemérito Distrito de Ixtlán de Juárez",20012
"213",20062,"Natividad","Benemérito Distrito de Ixtlán de Juárez",20012
"214",20504,"Nuevo Zoquiápam","Benemérito Distrito de Ixtlán de Juárez",20012
"215",20173,"San Juan Atepec","Benemérito Distrito de Ixtlán de Juárez",20012
"216",20191,"San Juan Chicomezúchil","Benemérito Distrito de Ixtlán de Juárez",20012
"217",20196,"San Juan Evangelista Analco","Benemérito Distrito de Ixtlán de Juárez",20012
"218",20214,"San Juan Quiotepec","Benemérito Distrito de Ixtlán de Juárez",20012
"219",20260,"San Miguel Aloápam","Benemérito Distrito de Ixtlán de Juárez",20012
"220",20262,"San Miguel Amatlán","Benemérito Distrito de Ixtlán de Juárez",20012
"221",20267,"San Miguel del Río","Benemérito Distrito de Ixtlán de Juárez",20012
"222",20288,"San Miguel Yotao","Benemérito Distrito de Ixtlán de Juárez",20012
"223",20296,"San Pablo Macuiltianguis","Benemérito Distrito de Ixtlán de Juárez",20012
"224",20335,"San Pedro Yaneri","Benemérito Distrito de Ixtlán de Juárez",20012
"225",20336,"San Pedro Yólox","Benemérito Distrito de Ixtlán de Juárez",20012
"226",20359,"Santa Ana Yareni","Benemérito Distrito de Ixtlán de Juárez",20012
"227",20363,"Santa Catarina Ixtepeji","Benemérito Distrito de Ixtlán de Juárez",20012
"228",20365,"Santa Catarina Lachatao","Benemérito Distrito de Ixtlán de Juárez",20012
"229",20419,"Santa María Jaltianguis","Benemérito Distrito de Ixtlán de Juárez",20012
"230",20443,"Santa María Yavesía","Benemérito Distrito de Ixtlán de Juárez",20012
"231",20458,"Santiago Comaltepec","Benemérito Distrito de Ixtlán de Juárez",20012
"232",20473,"Santiago Laxopa","Benemérito Distrito de Ixtlán de Juárez",20012
"233",20496,"Santiago Xiacuí","Benemérito Distrito de Ixtlán de Juárez",20012
"234",20544,"Teococuilco de Marcos Pérez","Benemérito Distrito de Ixtlán de Juárez",20012
"235",20097,"San Andrés Solaga","Villa Alta",20013
"236",20100,"San Andrés Yaá","Villa Alta",20013
"237",20114,"San Baltazar Yatzachi el Bajo","Villa Alta",20013
"238",20120,"San Bartolomé Zoogocho","Villa Alta",20013
"239",20128,"San Cristóbal Lachirioag","Villa Alta",20013
"240",20138,"San Francisco Cajonos","Villa Alta",20013
"241",20156,"San Ildefonso Villa Alta","Villa Alta",20013
"242",20201,"San Juan Juquila Vijanos","Villa Alta",20013
"243",20216,"San Juan Tabaá","Villa Alta",20013
"244",20222,"San Juan Yaeé","Villa Alta",20013
"245",20223,"San Juan Yatzona","Villa Alta",20013
"246",20246,"San Mateo Cajonos","Villa Alta",20013
"247",20257,"San Melchor Betaza","Villa Alta",20013
"248",20299,"San Pablo Yaganiza","Villa Alta",20013
"249",20303,"San Pedro Cajonos","Villa Alta",20013
"250",20432,"Santa María Temaxcalapa","Villa Alta",20013
"251",20442,"Santa María Yalina","Villa Alta",20013
"252",20457,"Santiago Camotlán","Villa Alta",20013
"253",20471,"Santiago Lalopa","Villa Alta",20013
"254",20503,"Santiago Zoochila","Villa Alta",20013
"255",20514,"Santo Domingo Roayaga","Villa Alta",20013
"256",20522,"Santo Domingo Xagacía","Villa Alta",20013
"257",20541,"Tanetze de Zaragoza","Villa Alta",20013
"258",20038,"Villa Hidalgo","Villa Alta",20013
"259",20280,"Villa Talea de Castro","Villa Alta",20013
"260",20003,"Asunción Cacalotepec","Mixe",20014
"261",20060,"Mixistlán de la  Reforma","Mixe",20014
"262",20190,"San Juan Cotzocón","Mixe",20014
"263",20207,"San Juan Mazatlán","Mixe",20014
"264",20231,"San Lucas Camotlán","Mixe",20014
"265",20275,"San Miguel Quetzaltepec","Mixe",20014
"266",20323,"San Pedro Ocotepec","Mixe",20014
"267",20337,"San Pedro y San Pablo Ayutla","Mixe",20014
"268",20394,"Santa María Alotepec","Mixe",20014
"269",20435,"Santa María Tepantlali","Mixe",20014
"270",20437,"Santa María Tlahuitoltepec","Mixe",20014
"271",20454,"Santiago Atitlán","Mixe",20014
"272",20465,"Santiago Ixcuintepec","Mixe",20014
"273",20502,"Santiago Zacatepec","Mixe",20014
"274",20517,"Santo Domingo Tepuxtepec","Mixe",20014
